καταλύω	καταλύσειν
κατάσκοπος	κατασκόπους
καταστρέφω	καταστρεψάμενος
καταφεύγω	καταφυγόντας
κατεργάζομαι	κατεργάζεται
κατεργάζομαι	κατεργάσασθαι
καθίστημι	κατεστήκεε
κατοικέω	κατοικοῦντας
κατοικέω	κατοικοῦντες
καθυπέρτερος	κατυπέρτεροι
καθύπερθε	κατύπερθε
κατά	κατ’
αὐτός	καὐτός
κεῖμαι	κείμενα
ἐκεῖνος	κείνων
κλάζω	κεκλήγων
κελεύω	κελεύσαντος
κεφαλή	κεφαλῇσι
εἰ	κεἰ
ἐκεῖνος	κεῖνον
κηρύσσω	κηρύσσειν
κηρύσσω	κηρύσσων
κίνδυνος	κινδύνοις
κίνδυνος	κινδύνους
κλάδος	κλάδους
κλαίω	κλαίοντες
κλάσμα	κλασμάτων
κληρονομία	κληρονομίαν
κλισία	κλισίην
κλισία	κλισίης
κλισία	κλισίῃ
κλισία	κλισίῃσι
κλισία	κλισίῃσιν
κλισία	κλισιάων
κλύω	κλύειν
κοιλία	κοιλίας
κοιλία	κοιλίᾳ
κοινωνία	κοινωνίαν
κολωνός	κολωνός
κομίζω	κομίζειν
κομάω	κομόωντας
κομάω	κομόωντες
κονία	κονίῃσι
κονία	κονίῃσιν
πού	κου
κόρη	κούρην
κόρη	κούρης
κόρη	κούρῃ
οὐ	κοὐ
οὐ	κοὐκ
κόρη	κοῦραι
κράζω	κράζει
κράζω	κράζοντες
κράνος	κράνεα
κράτος	κράτη
κρίνω	κρίναντες
κρίνω	κρίνατε
κρίνω	κρίνει
κρίνω	κρίνεις
κρίνω	κρίνεται
κρίνω	κρίνετε
κρίσις	κρίσει
κρίσις	κρίσεως
καρδία	κραδίη
κράς	κρατί
κρατερός	κρατερός
κρατερός	κρατερῶς
κράς	κρατός
κρείσσων	κρείττονος
κρατήρ	κρητῆρα
κρατήρ	κρητῆρας
κρῖ	κρῖ
κτίζω	κτίσαι
κτίσις	κτίσεως
κτείνω	κταμένοιο
κύων	κυνός
κύριος	κυρίοις
κύριος	κυρίου
κύριος	κυρίῳ
κυρέω	κυρεῖς
κυρέω	κυρῆσαι
κύων	κυσί
κωλύω	κωλύετε
κύδιστος	κύδιστε
κύκλος	κύκλον
κύων	κύνα
κύων	κύνας
κύων	κύνες
κύριος	κύριε
κύριος	κύριοι
κύριος	κύριον
κύριος	κύριός
ἐγώ	κἀγώ
ἐκ	κἀκ
ἐγώ	κἀμέ
ἐπί	κἀπί
κήρ	κῆῤ
λαμβάνω	λάβε
λαμβάνω	λάβεν
λαμβάνω	λάβετε
λαμβάνω	λάβοι
λαμβάνω	λάβῃ
λάζομαι	λάζετο
λέγω	λέγ̓
λέγω	λέγοντα
λέγω	λέγοντας
λέγω	λέγοντες
λέγω	λέγοντι
λέγω	λέγοντος
λέγω	λέγουσαι
λέγω	λέγουσαν
λίαν	λίην
